ID,Carat Weight,Cut,Color,Clarity,Polish,Symmetry,Report,Price,Price Prediction
54,1.58,Ideal,G,VVS2,VG,VG,GIA," $16,625 ",
55,0.91,Very Good,F,SI1,EX,VG,GIA," $4,546 ",
56,1.01,Fair,D,SI1,VG,G,GIA," $5,628 ",
57,1.13,Ideal,G,VVS1,EX,EX,GIA," $9,653 ",
58,2.0,Good,I,SI1,EX,VG,GIA," $14,321 ",
59,0.83,Very Good,H,VS2,VG,VG,GIA," $3,249 ",
60,0.92,Very Good,E,SI1,VG,VG,GIA," $4,286 ",
61,1.25,Ideal,G,VVS2,VG,VG,GIA," $11,089 ",
62,1.23,Signature-Ideal,G,VS1,EX,EX,GIA," $10,859 ",
63,1.51,Good,E,SI1,EX,EX,GIA," $12,487 ",
64,1.21,Signature-Ideal,E,VS1,EX,EX,GIA," $12,111 ",
65,1.02,Very Good,D,SI1,G,VG,GIA," $6,001 ",
66,0.75,Very Good,F,SI1,VG,VG,GIA," $2,734 ",
67,0.78,Very Good,I,VS1,VG,VG,GIA," $2,694 ",
68,2.02,Ideal,E,VS1,VG,G,GIA," $32,060 ",
69,0.9,Good,E,SI1,VG,G,GIA," $4,147 ",
70,1.01,Ideal,F,VS1,EX,EX,GIA," $8,860 ",
71,1.02,Ideal,G,VS2,EX,EX,GIA," $6,264 ",
72,1.14,Very Good,H,VS2,VG,G,GIA," $5,640 ",
73,1.5,Very Good,G,SI1,VG,VG,GIA," $10,019 ",
74,1.3,Very Good,H,SI1,VG,G,GIA," $7,018 ",
75,1.01,Very Good,D,IF,VG,VG,GIA," $18,187 ",
76,2.17,Ideal,G,VS1,EX,EX,GIA," $30,156 ",
77,0.9,Ideal,G,SI1,EX,EX,GIA," $4,260 ",
78,1.0,Good,H,SI1,VG,VG,GIA," $4,864 ",
79,2.24,Ideal,E,VS1,EX,EX,GIA," $40,445 ",
80,1.59,Ideal,H,VS1,EX,EX,GIA," $13,839 ",
81,1.02,Ideal,H,VS1,VG,VG,GIA," $5,835 ",
82,1.02,Very Good,H,SI1,VG,VG,GIA," $4,932 ",
83,2.1,Signature-Ideal,F,SI1,ID,ID,AGSL," $26,278 ",
84,0.91,Fair,F,SI1,VG,G,GIA," $4,036 ",
85,1.62,Very Good,F,SI1,EX,VG,GIA," $12,202 ",
86,1.1,Ideal,H,VS2,VG,VG,GIA," $6,387 ",
87,0.91,Very Good,F,SI1,VG,EX,GIA," $4,188 ",
88,1.2,Good,I,VS1,VG,VG,GIA," $5,818 ",
89,0.9,Very Good,E,SI1,EX,EX,GIA," $4,442 ",
90,1.04,Very Good,F,SI1,G,EX,GIA," $5,369 ",
91,1.66,Ideal,H,VS1,EX,EX,GIA," $13,330 ",
92,0.77,Very Good,D,VS1,EX,EX,GIA," $3,643 ",
93,1.63,Very Good,I,SI1,G,G,GIA," $9,199 ",
94,1.32,Ideal,E,SI1,VG,VG,GIA," $8,014 ",
95,1.71,Very Good,F,VS1,VG,VG,GIA," $17,768 ",
96,1.02,Ideal,E,SI1,VG,VG,GIA," $5,590 ",
97,1.04,Ideal,G,VS2,EX,EX,GIA," $6,809 ",
98,1.01,Ideal,F,VS2,EX,EX,GIA," $7,411 ",
99,1.2,Very Good,E,VS2,VG,EX,GIA," $9,320 ",
100,2.0,Good,I,VS2,VG,VG,GIA," $15,438 ",
101,1.01,Very Good,I,SI1,EX,EX,GIA," $4,133 ",
102,1.0,Very Good,E,VVS2,EX,VG,GIA," $8,638 ",
103,0.9,Ideal,I,SI1,VG,VG,GIA," $3,455 ",
104,1.38,Ideal,G,VVS1,EX,VG,GIA," $12,684 ",
105,1.0,Very Good,I,VS2,EX,VG,GIA," $4,739 ",
106,1.13,Very Good,F,VVS2,VG,VG,GIA," $9,947 ",
107,0.79,Ideal,I,VS1,EX,EX,GIA," $2,888 ",
108,1.54,Ideal,I,VS2,ID,ID,AGSL," $9,998 ",
109,0.81,Very Good,I,SI1,VG,VG,GIA," $2,701 ",
110,1.15,Ideal,F,VVS2,VG,VG,GIA," $10,555 ",
111,1.51,Very Good,F,VS2,EX,VG,GIA," $13,324 ",
112,1.2,Ideal,I,SI1,EX,VG,GIA," $5,476 ",
113,1.1,Very Good,H,SI1,VG,G,GIA," $5,276 ",
114,1.31,Very Good,I,VS1,VG,VG,GIA," $6,885 ",
115,1.03,Ideal,G,VS2,EX,EX,GIA," $6,981 ",
116,1.1,Very Good,I,SI1,G,EX,GIA," $4,545 ",
117,1.01,Very Good,F,VVS1,EX,EX,GIA," $9,782 ",
118,1.01,Very Good,E,SI1,VG,VG,GIA," $5,224 ",
119,1.01,Very Good,F,VS2,EX,EX,GIA," $6,714 ",
120,1.57,Ideal,G,VS2,EX,EX,GIA," $14,283 ",
121,1.01,Good,H,SI1,EX,EX,GIA," $4,563 ",
122,1.0,Ideal,E,VS2,EX,EX,GIA," $7,370 ",
123,1.21,Very Good,D,SI1,VG,EX,GIA," $7,597 ",
124,0.93,Very Good,E,VS2,G,VG,GIA," $5,140 ",
125,1.78,Very Good,D,VS2,VG,G,GIA," $16,697 ",
126,2.25,Ideal,E,VS2,EX,EX,GIA," $32,691 ",
127,0.93,Very Good,D,VS1,VG,VG,GIA," $5,862 ",
128,0.9,Very Good,H,VS2,G,G,GIA," $4,064 ",
129,1.01,Very Good,H,SI1,EX,VG,GIA," $4,682 ",
130,1.14,Good,H,SI1,VG,VG,GIA," $5,487 ",
131,1.05,Very Good,G,VS1,EX,VG,GIA," $7,010 ",
132,1.6,Ideal,G,VS2,ID,ID,AGSL," $15,000 ",
133,1.01,Good,E,SI1,VG,VG,GIA," $4,989 ",
134,1.01,Fair,D,SI1,EX,G,GIA," $5,122 ",
135,0.75,Very Good,F,VVS2,G,G,GIA," $3,551 ",
136,1.01,Very Good,D,SI1,VG,VG,GIA," $5,731 ",
137,2.03,Very Good,I,SI1,VG,EX,GIA," $15,101 ",
138,0.83,Good,E,SI1,EX,VG,GIA," $3,422 ",
139,1.02,Very Good,E,VS2,VG,VG,GIA," $6,366 ",
140,2.12,Ideal,H,VS2,ID,ID,AGSL," $21,846 ",
141,2.04,Ideal,I,SI1,EX,EX,GIA," $16,718 ",
142,0.75,Ideal,I,VVS2,ID,ID,AGSL," $2,782 ",
143,2.17,Ideal,F,SI1,VG,EX,GIA," $22,930 ",
144,1.0,Fair,F,VS1,EX,VG,GIA," $6,627 ",
145,1.0,Good,E,SI1,VG,EX,GIA," $5,408 ",
146,1.26,Very Good,F,VS1,EX,EX,GIA," $11,255 ",
147,1.31,Ideal,I,VS1,EX,EX,GIA," $7,751 ",
148,1.51,Very Good,G,VS2,VG,VG,GIA," $11,923 ",
149,1.02,Very Good,D,SI1,G,VG,GIA," $5,839 ",
150,1.01,Ideal,E,VVS2,VG,VG,GIA," $10,503 ",
151,0.91,Ideal,I,VS1,ID,ID,AGSL," $4,374 ",
152,0.79,Ideal,I,VS2,VG,EX,GIA," $2,712 ",
153,0.79,Good,E,SI1,VG,VG,GIA," $2,548 ",
154,1.02,Very Good,E,SI1,VG,VG,GIA," $5,667 ",
155,2.02,Very Good,F,SI1,VG,VG,GIA," $17,658 ",
156,1.06,Ideal,I,SI1,EX,EX,GIA," $4,745 ",
157,1.01,Very Good,F,VVS2,VG,G,GIA," $7,835 ",
158,0.9,Very Good,D,VS2,G,VG,GIA," $4,729 ",
159,2.15,Very Good,G,VS1,EX,EX,GIA," $27,558 ",
160,2.2,Very Good,F,VS2,EX,EX,GIA," $27,535 ",
161,1.22,Ideal,F,VS1,EX,EX,GIA," $10,422 ",
162,1.0,Fair,E,VVS2,VG,G,GIA," $7,553 ",
163,0.8,Very Good,H,SI1,EX,G,GIA," $2,670 ",
164,2.19,Very Good,F,VS2,VG,VG,GIA," $29,635 ",
165,1.32,Ideal,D,VVS2,EX,EX,GIA," $16,099 ",
166,1.51,Good,F,SI1,G,G,GIA," $11,056 ",
167,1.01,Good,E,SI1,VG,VG,GIA," $5,233 ",
168,2.74,Ideal,I,SI1,ID,ID,AGSL," $24,089 ",
169,1.02,Very Good,F,VVS1,VG,VG,GIA," $8,800 ",
170,2.04,Ideal,E,SI1,ID,ID,AGSL," $20,045 ",
171,1.02,Ideal,G,VS1,EX,VG,GIA," $7,038 ",
172,1.02,Very Good,G,VVS2,VG,EX,GIA," $8,252 ",
173,2.08,Ideal,H,SI1,EX,EX,GIA," $18,760 ",
174,1.02,Very Good,F,VVS2,EX,VG,GIA," $9,246 ",
175,1.06,Ideal,G,SI1,VG,VG,GIA," $5,870 ",
176,1.5,Very Good,F,VS2,VG,VG,GIA," $12,751 ",
177,1.57,Very Good,F,VVS1,EX,EX,GIA," $21,167 ",
178,2.34,Very Good,D,VVS2,VG,VG,GIA," $57,208 ",
179,1.2,Ideal,I,VS2,EX,EX,GIA," $6,303 ",
180,1.01,Very Good,D,SI1,VG,VG,GIA," $5,619 ",
181,1.32,Ideal,G,VS1,ID,ID,AGSL," $11,079 ",
182,1.15,Very Good,H,VS2,G,G,GIA," $5,831 ",
183,0.91,Very Good,D,SI1,VG,G,GIA," $4,585 ",
184,1.14,Ideal,I,SI1,VG,VG,GIA," $4,894 ",
185,1.13,Ideal,H,VVS2,EX,EX,GIA," $7,385 ",
186,2.08,Ideal,E,VS2,EX,EX,GIA," $32,149 ",
187,0.9,Good,E,VVS1,EX,VG,GIA," $7,214 ",
188,0.75,Ideal,H,SI1,VG,VG,GIA," $2,501 ",
189,2.66,Ideal,D,FL,EX,EX,GIA," $96,493 ",
190,1.56,Ideal,G,VS2,EX,EX,GIA," $13,543 ",
191,1.02,Very Good,G,VVS2,G,VG,GIA," $8,013 ",
192,1.02,Ideal,F,SI1,VG,EX,GIA," $5,795 ",
193,1.53,Very Good,G,VS1,VG,G,GIA," $15,008 ",
194,1.07,Very Good,F,IF,G,G,GIA," $11,019 ",
195,1.2,Very Good,G,SI1,VG,VG,GIA," $6,076 ",
196,0.9,Fair,F,SI1,VG,VG,GIA," $3,842 ",
197,1.23,Ideal,D,VVS2,EX,EX,GIA," $13,274 ",
198,1.01,Ideal,D,VVS2,ID,ID,AGSL," $11,442 ",
199,1.06,Signature-Ideal,F,VVS2,EX,EX,GIA," $10,927 ",
200,1.04,Ideal,G,VS2,EX,EX,GIA," $6,769 ",
201,1.51,Ideal,G,VS2,VG,EX,GIA," $12,947 ",
202,1.22,Very Good,H,SI1,G,VG,GIA," $6,350 ",
203,0.9,Very Good,E,SI1,VG,G,GIA," $4,265 ",
204,1.02,Ideal,F,VS2,EX,VG,GIA," $6,622 ",
205,0.8,Very Good,H,VS1,VG,VG,GIA," $3,144 ",
206,1.57,Ideal,E,VS2,EX,EX,GIA," $17,548 ",
207,2.08,Very Good,F,VS2,VG,G,GIA," $30,210 ",
208,0.9,Very Good,F,VS1,VG,VG,GIA," $4,671 ",
209,1.5,Ideal,H,VS1,ID,ID,AGSL," $12,055 ",
210,2.01,Very Good,H,SI1,VG,G,GIA," $18,149 ",
211,1.28,Ideal,G,SI1,EX,EX,GIA," $7,415 ",
212,1.52,Very Good,H,VS1,VG,VG,GIA," $12,877 ",
213,1.0,Good,H,SI1,VG,VG,GIA," $4,702 ",
214,2.37,Ideal,H,VS2,EX,VG,GIA," $28,063 ",
215,2.02,Good,E,VS1,EX,VG,GIA," $29,334 ",
216,1.21,Ideal,F,VS1,ID,ID,AGSL," $11,045 ",
217,1.54,Good,H,VS1,EX,VG,GIA," $10,669 ",
218,1.5,Very Good,H,VS2,VG,G,GIA," $9,706 ",
219,0.78,Very Good,E,VVS1,EX,VG,GIA," $4,904 ",
220,2.2,Very Good,I,VS1,EX,EX,AGSL," $19,671 ",
221,1.14,Ideal,G,IF,EX,EX,GIA," $9,948 ",
222,1.33,Ideal,G,VVS2,EX,EX,GIA," $12,345 ",
223,1.04,Ideal,D,VVS2,EX,EX,GIA," $11,367 ",
224,2.0,Very Good,I,SI1,VG,G,GIA," $15,381 ",
225,0.9,Very Good,D,VVS2,EX,VG,GIA," $5,423 ",
226,1.51,Fair,G,SI1,G,VG,GIA," $8,681 ",
227,1.23,Very Good,G,VVS1,EX,EX,GIA," $10,477 ",
228,1.53,Ideal,I,SI1,VG,VG,GIA," $8,971 ",
229,1.04,Very Good,F,SI1,G,VG,GIA," $5,290 ",
230,1.2,Very Good,H,SI1,EX,G,GIA," $5,630 ",
231,2.13,Ideal,D,IF,ID,ID,AGSL," $70,114 ",
232,0.9,Good,H,VS1,VG,VG,GIA," $4,072 ",
233,1.09,Ideal,E,VS2,EX,EX,GIA," $7,978 ",
234,1.27,Ideal,F,VVS1,VG,VG,GIA," $13,279 ",
235,1.01,Good,G,SI1,VG,G,GIA," $4,884 ",
236,1.13,Very Good,G,VVS2,VG,VG,GIA," $9,788 ",
237,1.01,Very Good,I,VS1,EX,EX,GIA," $5,041 ",
238,2.21,Ideal,G,VS2,EX,EX,GIA," $30,440 ",
239,2.03,Ideal,I,VVS1,ID,ID,AGSL," $21,437 ",
240,2.01,Very Good,I,VS2,VG,VG,GIA," $15,675 ",
241,2.13,Very Good,H,SI1,VG,VG,GIA," $17,601 ",
242,1.5,Good,F,SI1,G,G,GIA," $10,755 ",
243,1.27,Ideal,I,VS1,G,VG,GIA," $6,396 ",
244,1.07,Ideal,F,IF,EX,VG,GIA," $11,327 ",
245,2.14,Good,G,SI1,VG,G,GIA," $20,853 ",
246,1.01,Very Good,H,SI1,EX,EX,AGSL," $4,727 ",
247,1.0,Ideal,F,SI1,VG,EX,GIA," $5,312 ",
248,1.52,Very Good,E,SI1,EX,EX,GIA," $12,275 ",
249,1.19,Ideal,G,VS1,ID,ID,AGSL," $8,034 ",
250,1.03,Ideal,F,VS1,ID,ID,AGSL," $7,856 ",
251,1.01,Good,F,SI1,EX,VG,GIA," $5,078 ",
252,0.9,Very Good,D,SI1,G,G,GIA," $4,105 ",
253,2.02,Ideal,H,VS1,VG,VG,GIA," $20,885 ",
254,1.22,Very Good,G,VS2,VG,EX,GIA," $8,340 ",
255,1.13,Ideal,G,SI1,EX,VG,GIA," $5,759 ",
256,1.01,Ideal,F,SI1,EX,EX,GIA," $5,870 ",
257,1.04,Ideal,G,VS2,EX,EX,GIA," $7,044 ",
258,0.76,Very Good,H,IF,EX,EX,GIA," $3,367 ",
259,0.93,Ideal,I,SI1,EX,EX,GIA," $3,772 ",
260,0.9,Ideal,H,VS2,VG,VG,GIA," $4,369 ",
261,1.22,Very Good,G,VVS2,EX,EX,GIA," $9,919 ",
262,1.16,Very Good,D,SI1,EX,EX,GIA," $5,695 ",
263,2.5,Very Good,I,VS2,VG,G,GIA," $20,894 ",
264,1.71,Good,I,VS2,G,G,GIA," $11,250 ",
265,1.29,Ideal,H,SI1,ID,ID,AGSL," $7,036 ",
266,1.03,Ideal,G,VS1,ID,ID,AGSL," $6,913 ",
267,0.9,Ideal,D,SI1,EX,EX,GIA," $5,656 ",
268,2.32,Very Good,E,VVS2,G,EX,GIA," $47,800 ",
269,1.51,Good,I,VS2,VG,G,GIA," $8,951 ",
270,2.01,Good,E,VVS2,EX,G,GIA," $34,255 ",
271,1.0,Very Good,F,SI1,EX,VG,GIA," $5,528 ",
272,1.29,Ideal,G,VS2,EX,VG,AGSL," $8,858 ",
273,2.23,Ideal,H,VVS1,EX,EX,GIA," $28,811 ",
274,1.2,Very Good,F,VS1,VG,VG,GIA," $9,574 ",
275,0.78,Ideal,H,SI1,VG,EX,GIA," $2,622 ",
276,1.0,Fair,H,SI1,G,VG,GIA," $4,269 ",
277,0.92,Very Good,E,VS2,EX,EX,GIA," $5,044 ",
278,1.05,Good,H,SI1,G,G,GIA," $4,785 ",
279,1.1,Very Good,H,SI1,VG,EX,GIA," $4,938 ",
280,1.23,Very Good,G,VVS1,G,VG,GIA," $10,435 ",
281,0.76,Good,G,VS1,VG,G,AGSL," $3,121 ",
282,1.21,Ideal,I,VS1,ID,ID,AGSL," $7,111 ",
283,2.01,Ideal,H,VS2,ID,ID,AGSL," $20,296 ",
284,1.02,Very Good,E,VS2,VG,G,GIA," $6,612 ",
285,1.04,Good,G,SI1,G,G,GIA," $4,768 ",
286,0.76,Ideal,G,VS2,EX,EX,GIA," $3,114 ",
287,1.01,Ideal,F,VS1,VG,VG,GIA," $7,870 ",
288,1.51,Ideal,D,SI1,EX,EX,GIA," $13,588 ",
289,1.22,Ideal,F,VVS2,VG,EX,GIA," $10,409 ",
290,2.02,Very Good,E,VS2,VG,EX,GIA," $28,739 ",
291,1.09,Ideal,G,VS1,EX,EX,GIA," $7,992 ",
292,0.91,Very Good,D,VS2,VG,VG,GIA," $5,134 ",
293,1.0,Fair,E,VS2,VG,G,GIA," $6,268 ",
294,0.9,Very Good,I,VS2,G,G,GIA," $3,709 ",
295,1.32,Very Good,I,VS1,VG,VG,GIA," $6,793 ",
296,2.01,Good,H,VS2,G,G,GIA," $18,341 ",
297,1.01,Ideal,I,SI1,VG,VG,GIA," $5,020 ",
298,1.09,Signature-Ideal,G,VS2,ID,ID,AGSL," $7,709 ",
299,1.0,Very Good,E,SI1,VG,VG,GIA," $5,247 ",
300,0.91,Very Good,H,VVS2,VG,VG,GIA," $4,143 ",
301,1.55,Signature-Ideal,I,VS2,ID,ID,AGSL," $11,574 ",
302,1.25,Ideal,G,VVS2,ID,ID,AGSL," $10,983 ",
303,1.03,Ideal,G,VVS2,EX,EX,GIA," $8,277 ",
304,0.77,Ideal,D,SI1,ID,ID,AGSL," $3,345 ",
305,2.01,Ideal,H,SI1,EX,VG,GIA," $18,252 ",
306,0.78,Ideal,H,VVS2,EX,EX,GIA," $3,581 ",
307,1.5,Signature-Ideal,G,VVS2,ID,ID,AGSL," $17,176 ",
308,1.7,Very Good,H,SI1,VG,VG,GIA," $11,560 ",
309,1.15,Ideal,H,SI1,VG,VG,GIA," $5,529 ",
310,0.84,Ideal,I,VS1,EX,EX,GIA," $2,898 ",
311,1.07,Very Good,H,VS2,G,G,GIA," $5,586 ",
312,1.5,Ideal,E,VS2,ID,ID,AGSL," $14,618 ",
313,1.0,Very Good,G,VVS1,EX,G,GIA," $7,872 ",
314,1.01,Good,F,VS2,G,VG,GIA," $5,700 ",
315,1.14,Signature-Ideal,H,SI1,ID,ID,AGSL," $7,079 ",
316,1.28,Ideal,F,VS1,EX,EX,GIA," $12,061 ",
317,0.91,Very Good,G,VVS1,EX,EX,GIA," $4,680 ",
318,1.22,Ideal,F,VS2,VG,VG,GIA," $8,418 ",
319,0.91,Very Good,H,SI1,EX,VG,GIA," $3,998 ",
320,1.01,Very Good,H,VS2,ID,ID,AGSL," $5,393 ",
321,1.06,Signature-Ideal,G,VS1,ID,ID,AGSL," $8,093 ",
322,1.26,Ideal,F,VS2,EX,EX,GIA," $10,709 ",
323,0.9,Very Good,E,VS2,VG,EX,GIA," $4,920 ",
324,0.92,Signature-Ideal,I,SI1,ID,ID,AGSL," $4,457 ",
325,2.01,Very Good,G,VS1,EX,EX,GIA," $24,784 ",
326,1.0,Very Good,G,VVS2,EX,EX,GIA," $7,215 ",
327,1.5,Ideal,H,VVS2,ID,ID,AGSL," $12,187 ",
328,1.2,Very Good,H,SI1,VG,VG,GIA," $6,377 ",
329,2.03,Ideal,F,VS2,EX,EX,GIA," $31,773 ",
330,2.07,Very Good,I,VS2,VG,EX,GIA," $16,378 ",
331,1.01,Very Good,F,VS1,VG,VG,GIA," $6,914 ",
332,0.79,Very Good,E,VVS2,VG,VG,GIA," $4,585 ",
333,1.7,Good,G,VS2,VG,G,GIA," $15,087 ",
334,0.83,Very Good,H,VS2,G,EX,GIA," $3,276 ",
335,1.09,Ideal,G,VS2,EX,EX,GIA," $7,227 ",
336,0.9,Good,H,SI1,G,VG,GIA," $3,238 ",
337,0.9,Good,D,VS2,VG,G,GIA," $4,508 ",
338,1.33,Ideal,I,VS2,ID,ID,AGSL," $7,752 ",
339,1.51,Ideal,G,VS2,VG,EX,GIA," $12,913 ",
340,1.0,Very Good,H,SI1,EX,EX,GIA," $5,021 ",
341,2.02,Good,H,VS1,EX,EX,GIA," $19,829 ",
342,0.81,Very Good,E,SI1,VG,G,GIA," $3,643 ",
343,1.03,Ideal,D,VS1,EX,EX,GIA," $9,192 ",
344,0.75,Ideal,E,SI1,G,VG,GIA," $3,049 ",
345,1.06,Good,H,SI1,VG,VG,GIA," $4,828 ",
346,0.86,Ideal,F,VS2,EX,EX,GIA," $4,398 ",
347,0.91,Fair,F,SI1,G,G,GIA," $3,884 ",
348,1.01,Good,F,SI1,EX,VG,GIA," $5,107 ",
349,2.09,Ideal,H,VS1,EX,EX,GIA," $23,602 ",
350,1.23,Very Good,F,VVS2,G,EX,GIA," $11,110 ",
351,1.35,Very Good,H,VVS2,EX,ID,AGSL," $8,644 ",
352,1.25,Ideal,E,VVS2,ID,ID,AGSL," $12,981 ",
353,2.02,Very Good,G,SI1,VG,EX,GIA," $19,442 ",
354,1.01,Very Good,D,SI1,VG,G,GIA," $5,670 ",
355,1.52,Ideal,H,SI1,EX,VG,GIA," $10,239 ",
356,1.53,Very Good,H,SI1,G,EX,GIA," $9,332 ",
357,2.01,Ideal,G,VS1,VG,VG,GIA," $26,659 ",
358,1.08,Ideal,H,SI1,ID,ID,AGSL," $5,558 ",
359,1.23,Ideal,I,SI1,EX,EX,GIA," $6,183 ",
360,1.23,Very Good,F,VS1,G,VG,GIA," $9,694 ",
361,1.02,Very Good,G,IF,VG,VG,GIA," $8,538 ",
362,1.02,Very Good,F,VVS2,EX,EX,GIA," $9,728 ",
363,1.13,Ideal,G,VS1,ID,ID,AGSL," $7,808 ",
364,2.43,Ideal,E,SI1,EX,EX,GIA," $30,108 ",
365,1.03,Signature-Ideal,D,VS1,EX,EX,GIA," $10,607 ",
366,0.8,Very Good,H,VVS1,ID,ID,AGSL," $3,737 ",
367,1.09,Ideal,D,VVS2,EX,EX,GIA," $12,185 ",
368,1.0,Very Good,D,SI1,EX,VG,GIA," $6,040 ",
369,1.0,Ideal,G,VS2,VG,VG,GIA," $5,887 ",
370,1.33,Signature-Ideal,F,VVS2,EX,EX,GIA," $15,031 ",
371,0.9,Very Good,G,VS2,VG,VG,GIA," $4,173 ",
372,1.05,Ideal,G,VS1,ID,ID,AGSL," $7,317 ",
373,1.04,Good,E,VVS2,VG,G,GIA," $9,038 ",
374,1.04,Very Good,F,VS1,VG,VG,GIA," $8,090 ",
375,2.01,Ideal,G,SI1,ID,ID,AGSL," $20,934 ",
376,1.51,Good,I,VS2,EX,G,GIA," $8,939 ",
377,0.9,Fair,D,VS1,VG,G,GIA," $4,958 ",
378,1.12,Ideal,G,VS1,ID,ID,AGSL," $7,970 ",
379,0.91,Very Good,F,SI1,VG,VG,GIA," $3,963 ",
380,1.05,Ideal,G,VS1,EX,VG,GIA," $7,571 ",
381,2.01,Ideal,E,SI1,EX,EX,GIA," $23,217 ",
382,0.9,Fair,E,SI1,VG,VG,GIA," $3,743 ",
383,2.3,Very Good,E,VS1,EX,EX,GIA," $45,752 ",
384,0.85,Very Good,D,VS2,VG,VG,GIA," $4,133 ",
385,1.25,Very Good,I,VS2,G,VG,GIA," $5,956 ",
386,1.59,Ideal,I,SI1,EX,EX,GIA," $9,209 ",
387,1.2,Ideal,D,VVS2,VG,EX,GIA," $13,165 ",
388,1.21,Very Good,G,VVS2,EX,EX,GIA," $9,878 ",
389,1.05,Very Good,D,VS2,G,G,GIA," $7,794 ",
390,1.06,Ideal,G,VS1,EX,EX,GIA," $7,594 ",
391,1.02,Ideal,F,VS2,EX,VG,GIA," $6,645 ",
392,1.01,Very Good,E,VVS2,VG,EX,GIA," $8,401 ",
393,1.01,Very Good,F,VVS1,EX,VG,GIA," $10,019 ",
394,0.82,Ideal,F,VS2,ID,ID,AGSL," $3,913 ",
395,1.03,Very Good,G,SI1,G,VG,GIA," $4,997 ",
396,0.9,Very Good,H,SI1,EX,EX,GIA," $3,770 ",
397,0.91,Very Good,I,VS2,G,VG,GIA," $3,633 ",
398,1.51,Fair,I,VS1,G,G,GIA," $8,359 ",
